matrix,matrix_domain,matrix_m,matrix_n,matrix_name,matrix_nnz,matrix_size,normal_spmv_time,oski_mean_max_error,oski_mean_spmv_time,oski_mean_time,phil_mean_max_error,phil_mean_spmv_time,phil_mean_time,pphil_mean_max_error,pphil_mean_spmv_time,pphil_mean_time
af_shell10_conv,Structural,1508065,1508065,af_shell10,52672325,1953468435,0.01570719902,0.002366729176895934,0.012957478949999999,0.14645249337000002,0.0069322947299775015,0.012957478949999999,0.01034658984,0.0075873155229300715,0.012957478949999999,0.00122133868
pathological_phil,Synthetic,120000,120000,pathological_PHIL,14499856,495184416,0.0057777301600000011,0.006388174341685404,0.0021519563600000003,0.03213934712,0.006291398358322419,0.0021519563600000003,0.01074825358,0.006949806365185103,0.0021519563600000003,0.0012553445400000003
kron_g500-logn17_conv,Graph,131072,131072,kron_g500-logn17,10228360,350580543,0.0059630722499999997,0.012360148315978451,0.005963072250000001,0.02743620167,0.0014406289629273743,0.005963072250000001,0.00828534266,0.0015132267210838466,0.005963072250000001,0.00071397
nasasrb_conv,Structural,54870,54870,nasasrb,2677324,91141364,0.00035148249999999997,0.019480818999257132,0.00014177883000000003,0.00665371159,0.0055691350964362,0.00014177883000000003,0.00765231082,0.005586784787060324,0.00014177883000000003,0.00076715389
rail4284_conv,Linear Programming,1096894,4284,rail4284,11284032,381165123,0.0058572892500000006,0.13076483062005317,0.0058456585254999995,0.030995042120000003,0.007640851870244338,0.005857289249999998,0.012377958820000002,0.008138461652816177,0.005857289249999998,0.00127521204
pdb1HYS_conv,Graph,36417,36417,pdb1HYS,4344765,148013404,0.0010568073300000001,0.010894814991911488,0.0005314107600000002,0.010207423690000002,0.006945105333708732,0.0005314107600000002,0.009027184260000001,0.0062624529537051825,0.0005314107600000002,0.00105569749
F1_conv,Structural,343791,343791,F1,26837113,962345101,0.014155251950000001,0.006619258435031443,0.006546099210000004,0.07119221286,0.007420673131023241,0.006546099210000004,0.01205688946,0.007219213700251707,0.006546099210000004,0.00159849969
troll_conv,Structural,213453,213453,troll,11985111,419033501,0.0045286137600000003,0.009158775140898152,0.0021005831300000004,0.03074418676,0.006463302850132375,0.0021005831300000004,0.009196890400000001,0.006899364019450881,0.0021005831300000004,0.0011451957
pwtk_conv,Structural,217918,217918,pwtk,11634424,412785929,0.0044653361700000005,0.006482508298358325,0.0022062336200000007,0.027982191540000003,0.007999385916704418,0.0022062336200000007,0.00807737635,0.007943738326393954,0.0022062336200000007,0.0007274583600000001
boneS10_conv,Model Reduction Problem,914898,914898,boneS10,55468422,2008964607,0.017150457510000001,0.0027293210913004974,0.011508545359999995,0.14018690036,0.007126936285322814,0.011508545359999995,0.012448188,0.0075985622004461,0.011508545359999995,0.00152010625
kkt_power_conv,Power Network,2063494,2063494,kkt_power,14612663,539458399,0.011088112739999999,0.003199671965785673,0.01108811274,0.08356960677,0.004354356456140284,0.01108811274,0.00852379963,0.004394990739944108,0.01108811274,0.00086412176
